"budget","popularity","vote_average","vote_count","revenue","runtime","year"
1350000,16.032594,7.5,1648,3897569,105,1998
6.8e+07,20.913852,5.9,302,118063304,116,1997
4e+07,67.767785,5.4,1127,169837010,110,2014
2.3e+07,7.436315,5.3,142,51751835,83,2005
3.5e+07,11.195593,5.1,167,19294901,97,2005
1.8e+07,12.243887,5.9,136,41382841,103,1986
3e+06,21.607228,5.7,361,29999213,87,1985
2.8e+07,13.145205,4.8,296,14010832,98,2001
2700000,10.47644,5.9,108,3500000,93,1986
5.6e+07,35.4763,5.8,842,113006880,95,2005
3e+07,24.09152,7.1,598,95714875,109,2009
6.5e+07,31.324734,5,687,71154592,92,2014
2.8e+07,22.074306,5.8,491,38159905,103,2006
4.5e+07,25.999888,6.6,518,50871113,103,2005
2.3e+07,0.143784,6.1,30,1632,79,2012
1.8e+07,18.492655,6,303,62646763,94,2003
3e+07,5.671691,6.2,179,9898412,100,1998
2.5e+07,21.729434,5.5,444,59192128,101,2007
2.3e+07,1.769593,6.4,12,51751835,86,2001
2.3e+07,19.998581,5.3,425,51751835,115,2005
1.2e+07,17.493735,6.5,565,9584131,84,2004
6e+07,21.084542,6.2,367,66976317,148,1999
1.35e+08,17.88953,4.9,331,76932943,121,2005
1e+07,11.592129,5.5,75,51751835,87,2001
6e+07,8.927137,6.1,204,52322400,104,2002
1.5e+07,4.688212,5.4,268,66966987,87,2006
3.5e+07,21.543389,5.5,867,147934180,88,2001
4e+07,12.885985,6.3,186,46442528,117,2005
5e+07,21.637234,5.6,373,42277365,97,1996
1.9e+07,30.205943,6,588,108047131,90,2005
4e+07,17.157738,5.5,677,68766121,113,2005
5e+07,4.280619,4.5,137,61112916,98,2006
1.7e+07,12.313143,5.8,177,6735922,117,1986
9e+06,4.34503,5.3,155,27105095,100,2006
2.3e+07,8.825113,6.1,160,658573,95,2005
2.3e+07,8.312153,4.9,46,51751835,93,2007
5e+06,17.304055,6.5,354,44793222,96,1987
2e+07,10.098722,3.6,222,48548426,83,2006
2.3e+07,6.309587,6.3,313,14334401,88,2007
2.3e+07,12.295216,5.4,87,51751835,98,2007
8e+07,7.342892,4.8,111,5989640,110,2005
1e+07,4.207456,5.6,72,20342161,84,2007
1e+06,6.926926,5.6,126,10047674,90,2005
3.7e+07,41.569541,6.3,1204,96455697,98,2004
3e+06,0.431332,5.8,5,51751835,97,1999
780000,6.003418,6.6,98,51751835,90,2003
2.3e+07,9.750557,6.3,148,51751835,105,2006
7e+06,6.872784,4.9,50,20256975,96,1988
7700000,7.554799,5.9,131,1072602,123,2011
2.3e+07,6.679954,5.7,117,51751835,95,2012
1.2e+07,8.410688,6.5,85,32726956,93,2012
7e+06,17.113408,5.8,281,72500000,99,1988
4e+06,4.541908,6.7,46,3468572,110,1988
7500000,11.636883,6.7,192,51751835,95,2002
1.5e+07,6.216203,6.3,252,30050028,114,1989
2.5e+07,15.26213,5.6,304,79817939,94,1986
1.33e+08,30.475297,5.8,959,300135367,84,1999
2e+07,30.909699,7.1,612,54586584,128,2008
2.3e+07,26.58873,6.5,656,76488889,91,2003
1.9e+07,15.67747,4.1,210,39267515,85,2003
7.5e+07,18.65988,5.8,476,13100000,134,1998
2.3e+07,6.786117,5.3,140,51751835,102,1999
1.1e+07,14.282314,6.5,204,31672907,92,1981
8.5e+07,24.107835,6.4,514,80916492,104,2003
8e+06,12.654051,5.5,245,22168359,89,1989
2.3e+07,5.735912,7.4,54,51751835,91,1998
1e+07,10.125029,5.4,197,32101000,108,1992
1.3e+07,6.337063,4.6,82,51751835,98,2002
9e+06,3.810697,5.7,49,51751835,91,1984
1.5e+07,31.60985,7.6,1477,20117339,147,2001
2.3e+07,4.805651,6.7,99,51751835,97,2008
4e+07,26.253357,6.2,959,177259441,129,2009
1.5e+07,19.913961,6,290,3533227,98,2008
1.5e+07,13.832376,5.6,156,8762890,102,2008
2.1e+07,5.815881,5.8,65,17600000,120,2008
2.7e+07,11.870301,6,238,44352417,117,2008
2.7e+07,41.832392,6.6,1148,101624843,111,2008
8e+07,9.357734,5.1,165,53825515,112,2009
1.05e+08,62.479574,6.7,1247,267045765,97,2009
6e+07,16.493576,5.8,258,50877145,93,2008
8e+07,41.890722,5.2,1043,233093859,104,2008
7e+07,43.849351,6.4,1813,225990978,104,2008
8e+07,23.531721,5.9,901,212874442,99,2008
1.1e+08,22.643776,5.7,672,72178895,120,2004
8e+07,10.81051,5.8,196,118880016,131,1999
2.4e+07,6.589193,5.8,92,16290976,87,1999
1.2e+07,9.164386,6.9,141,51751835,100,1999
8.4e+07,17.815595,3.6,338,51751835,94,2005
6e+06,15.639016,6.5,354,5.8e+07,99,1998
5e+06,7.673124,6.8,103,3263585,112,1997
2e+05,13.971674,6.8,253,4505922,94,1996
2.3e+07,2.79483,6.3,32,51751835,127,1999
1.2e+07,18.422008,6.9,439,22921898,121,1998
2.3e+07,10.178917,6.9,187,51751835,121,1998
3e+06,11.158167,5.7,216,19472057,86,1986
2.3e+07,4.952983,6.6,271,51751835,91,2003
1.1e+07,33.283554,7.5,1018,41227069,101,2002
2.3e+07,29.647844,5.9,638,18074539,118,2013
2.3e+07,11.347855,7.8,115,51751835,91,1972
5e+06,8.753409,7,294,3049135,99,1994
4e+06,12.891276,6.1,183,125728258,94,1981
7e+07,4.822033,4,104,53587404,90,2007
1.2e+07,3.389249,6.2,51,30400000,132,1983
2.3e+07,3.70789,6.3,112,51751835,142,1999
2.3e+07,7.866961,5.5,124,51751835,92,1996
2800000,9.070842,5.3,192,19170001,88,1988
5e+06,12.904615,4.8,191,1.4e+07,100,1989
3e+06,10.341982,4.2,193,15938065,87,1993
8e+06,5.244518,6.6,135,426224,91,2006
1300000,58.845025,8,2535,28262574,114,1976
10500000,11.225044,4.5,123,14144000,98,1988
2.9e+07,14.993169,6,242,50041732,103,1999
5e+07,35.537397,7,832,202292902,115,1998
2.4e+07,20.69219,5.9,742,68729358,93,2009
1e+07,8.9876,5.7,418,103166989,95,1999
4e+07,41.258956,7.5,1176,46471023,87,2009
12500000,20.317469,6.5,910,75993061,101,2011
2.8e+07,12.921594,5.8,195,7002261,108,2015
5e+07,32.233713,5.4,632,161451538,110,2005
4.5e+07,4.340616,5.1,377,124914842,95,2003
5e+07,10.755847,5,213,152022101,109,1995
2.6e+07,24.345651,6,879,110230332,97,2003
114000,25.666029,7.5,580,3e+07,96,1968
2.3e+07,9.140936,6.9,228,641100,115,2012
